kappa_index,sigma_index,kappa,sigma,r_mean,order_parameter_mag,spectral_radius,spectral_gap,omega_abs
0,0,0.5,0.0,0.2680157710084069,0.2669909835585147,1.0000000000000004,2.220446049250313e-16,1.3192798337529987
0,1,0.5,0.125,0.4221713442504463,0.4201285274386261,1.0000000000000004,2.220446049250313e-16,0.756670198298814
0,2,0.5,0.25,0.2061555792888585,0.2002359823308817,1.0000000000000004,2.220446049250313e-16,1.0875589033125712
0,3,0.5,0.375,0.1581470450541742,0.1550923008100093,1.0000000000000004,2.220446049250313e-16,1.2879545538627095
0,4,0.5,0.5,0.1134689638204791,0.1100547958615477,1.0000000000000004,2.220446049250313e-16,1.228871997658555
1,0,0.75,0.0,0.3851714022767403,0.3825916396489296,1.5000000000000009,3.3306690738754696e-16,1.7276306961786403
1,1,0.75,0.125,0.6009384511032413,0.6001120054137404,1.5000000000000009,3.3306690738754696e-16,0.5334959723354271
1,2,0.75,0.25,0.2710800927242325,0.2550666472880019,1.5000000000000009,3.3306690738754696e-16,0.5606287284751059
1,3,0.75,0.375,0.4665070207546491,0.4663664295056761,1.5000000000000009,3.3306690738754696e-16,0.5551842185681701
1,4,0.75,0.5,0.4074049694295816,0.4066420868157892,1.5000000000000009,3.3306690738754696e-16,0.8568435810093233
2,0,1.0,0.0,0.2320957787212307,0.2317826936325129,2.000000000000001,4.440892098500626e-16,2.635395233952253
2,1,1.0,0.125,0.5603277066189819,0.5596277291595003,2.000000000000001,4.440892098500626e-16,0.3389101317005022
2,2,1.0,0.25,0.2854581954854885,0.2802374968613131,2.000000000000001,4.440892098500626e-16,1.9819733892978908
2,3,1.0,0.375,0.1059983048788548,0.1059372984541274,2.000000000000001,4.440892098500626e-16,0.7489000350821973
2,4,1.0,0.5,0.4707593094022279,0.4636632925019257,2.000000000000001,4.440892098500626e-16,2.9705470176854454
3,0,1.25,0.0,0.2731542878657257,0.2731446436493518,2.500000000000001,5.551115123125784e-16,1.621302438120466
3,1,1.25,0.125,0.4693146339172033,0.4667343704794345,2.500000000000001,5.551115123125784e-16,1.6580651506723116
3,2,1.25,0.25,0.6665466625238492,0.6663225545637376,2.500000000000001,5.551115123125784e-16,1.1528660918179745
3,3,1.25,0.375,0.5200495679614398,0.5196822078351719,2.500000000000001,5.551115123125784e-16,2.1621116524939823
3,4,1.25,0.5,0.1295057982621054,0.1283042852403659,2.500000000000001,5.551115123125784e-16,3.137593959011331
4,0,1.5,0.0,0.4357948144461813,0.4351478338687657,3.0000000000000013,6.661338147750939e-16,1.2727661698319916
4,1,1.5,0.125,0.2990524318380155,0.2908972263662547,3.0000000000000013,6.661338147750939e-16,1.80203290697566
4,2,1.5,0.25,0.852890061250904,0.8527553185516754,3.0000000000000013,6.661338147750939e-16,0.7968739183303526
4,3,1.5,0.375,0.2285957759562045,0.1875004940647604,3.0000000000000013,6.661338147750939e-16,2.405819174407433
4,4,1.5,0.5,0.3267697747456001,0.2861204036748933,3.0000000000000013,6.661338147750939e-16,1.1133057985749053
