zeta_index,mu_index,zeta,mu,r0,omega_abs
0,0,0.1,0.1,1.0,1.0
0,1,0.1,0.2,0.5,0.043937
0,2,0.1,0.3,0.333,0.003866
0,3,0.1,0.4,0.25,0.000884
0,4,0.1,0.5,0.2,0.000335
1,0,0.2,0.1,2.0,4e-06
1,1,0.2,0.2,1.0,1.0
1,2,0.2,0.3,0.667,0.249352
1,3,0.2,0.4,0.5,0.043937
1,4,0.2,0.5,0.4,0.011109
2,0,0.3,0.1,3.0,0.0
2,1,0.3,0.2,1.5,0.043937
2,2,0.3,0.3,1.0,1.0
2,3,0.3,0.4,0.75,0.457833
2,4,0.3,0.5,0.6,0.135335
3,0,0.4,0.1,4.0,0.0
3,1,0.4,0.2,2.0,4e-06
3,2,0.4,0.3,1.333,0.249352
3,3,0.4,0.4,1.0,1.0
3,4,0.4,0.5,0.8,0.606531
4,0,0.5,0.1,5.0,0.0
4,1,0.5,0.2,2.5,0.0
4,2,0.5,0.3,1.667,0.003866
4,3,0.5,0.4,1.25,0.457833
4,4,0.5,0.5,1.0,1.0
